,address,city,soldDate,soldPrice,sqft,zipCode,borough
10698,242 Kingsland Ave,Brooklyn,18-Oct-18,2930000.0,4875,11222,Brooklyn
10699,503 Madison St,Brooklyn,18-Oct-18,1395000.0,2520,11221,Brooklyn
10700,215 Brooklyn Ave,Brooklyn,18-Oct-18,1600000.0,2940,11213,Brooklyn
10701,1437 41st St,Brooklyn,18-Oct-18,999000.0,2060,11218,Brooklyn
10702,742 Madison St,Brooklyn,18-Oct-18,1333000.0,1320,11221,Brooklyn
10703,3803 Glenwood Rd,Brooklyn,18-Oct-18,600000.0,1402,11210,Brooklyn
10704,42 Seeley St,Brooklyn,18-Oct-18,1495000.0,3144,11218,Brooklyn
10705,661 47th St,Brooklyn,19-Oct-18,,3528,11220,Brooklyn
10706,372 Baltic St,Brooklyn,19-Oct-18,,7080,11201,Brooklyn
10707,552 Gates Ave,Brooklyn,19-Oct-18,,8302,11221,Brooklyn
10708,2224 E 65th St,Brooklyn,19-Oct-18,2350000.0,5065,11234,Brooklyn
10709,366 74th St,Brooklyn,19-Oct-18,1130000.0,2272,11209,Brooklyn
10710,451 6th St,Brooklyn,19-Oct-18,3450000.0,3600,11215,Brooklyn
10711,1566 84th St,Brooklyn,19-Oct-18,1125000.0,1824,11228,Brooklyn
10712,365 Bridge St #3G101,Brooklyn,19-Oct-18,1040000.0,1175,11201,Brooklyn
10713,68 Green St #2B,Brooklyn,19-Oct-18,662500.0,574,11222,Brooklyn
10714,971 Jerome St #1B,Brooklyn,19-Oct-18,230000.0,643,11207,Brooklyn
10715,100 Jay St #17G,Brooklyn,19-Oct-18,1495000.0,1260,11201,Brooklyn
10716,165 Howard Ave,Brooklyn,19-Oct-18,,10080,11233,Brooklyn
10717,3619 Avenue I,Brooklyn,19-Oct-18,1280000.0,3286,11210,Brooklyn
10718,1113 Bergen St,Brooklyn,19-Oct-18,,3024,11216,Brooklyn
10719,137 Patchen Ave,Brooklyn,19-Oct-18,,6801,11221,Brooklyn
10720,96 Rockwell Pl #4C,Brooklyn,19-Oct-18,680000.0,736,11217,Brooklyn
10721,308 Kosciuszko St,Brooklyn,19-Oct-18,,7800,11221,Brooklyn
10722,124 Jefferson Ave,Brooklyn,19-Oct-18,,4308,11216,Brooklyn
10723,310 Saint James Pl #4B312,Brooklyn,19-Oct-18,940000.0,971,11238,Brooklyn
10724,307 7th St #1R,Brooklyn,19-Oct-18,1720000.0,1645,11215,Brooklyn
10725,787 Quincy St,Brooklyn,19-Oct-18,,2268,11221,Brooklyn
10726,1968 E 34th St,Brooklyn,19-Oct-18,650000.0,1050,11234,Brooklyn
10727,258 Bradford St,Brooklyn,19-Oct-18,2000.0,1760,11207,Brooklyn
10728,163 Washington Park #2,Brooklyn,19-Oct-18,1800000.0,1278,11205,Brooklyn
10729,3633 Canal Ave,Brooklyn,19-Oct-18,550000.0,1500,11224,Brooklyn
10730,2330 E 15th St,Brooklyn,19-Oct-18,740000.0,1408,11229,Brooklyn
10731,570 16th St,Brooklyn,22-Oct-18,1300000.0,1680,11218,Brooklyn
10732,228 Bainbridge St,Brooklyn,22-Oct-18,1100000.0,2556,11233,Brooklyn
10733,347 Pacific St,Brooklyn,22-Oct-18,,5751,11217,Brooklyn
10734,655 Washington Ave #3A,Brooklyn,22-Oct-18,900000.0,832,11238,Brooklyn
10735,569 E 91st St,Brooklyn,22-Oct-18,775000.0,3840,11236,Brooklyn
10736,135 Oceana Dr E #3F,Brooklyn,22-Oct-18,787000.0,1069,11235,Brooklyn
10737,1925 52nd St,Brooklyn,22-Oct-18,1630000.0,2023,11204,Brooklyn
10738,222 Kane St,Brooklyn,22-Oct-18,3400000.0,2400,11231,Brooklyn
10739,150 Oceana Dr W #3G,Brooklyn,22-Oct-18,840000.0,1376,11235,Brooklyn
10740,1482 E 16th St,Brooklyn,22-Oct-18,605000.0,976,11230,Brooklyn
